MCS Area Volume r h theta_rad theta_deg
330 2763 9776 29.6562 6.94918 0.460344 26.3757
331 2763 9760 29.6562 6.9382 0.459642 26.3355
332 2757 9740 29.624 6.93876 0.46016 26.3652
333 2739 9758 29.5271 6.9944 0.465187 26.6532
334 2730 9758 29.4786 7.01623 0.467327 26.7759
335 2724 9752 29.4462 7.02668 0.468495 26.8428
336 2727 9758 29.4624 7.02353 0.468044 26.817
337 2736 9774 29.5109 7.01274 0.466609 26.7347
338 2733 9788 29.4948 7.02972 0.467945 26.8113
339 2742 9804 29.5433 7.01892 0.466513 26.7292
340 2760 9787 29.6401 6.96389 0.461526 26.4435
341 2781 9778 29.7526 6.90788 0.45627 26.1423
342 2775 9784 29.7205 6.92615 0.457912 26.2364
343 2772 9771 29.7045 6.92436 0.458037 26.2436
344 2748 9751 29.5756 6.96788 0.462753 26.5138
345 2745 9745 29.5594 6.97095 0.463193 26.539
346 2763 9749 29.6562 6.93065 0.459159 26.3079
347 2736 9745 29.5109 6.99267 0.465321 26.661
348 2748 9734 29.5756 6.95616 0.462002 26.4707
349 2751 9701 29.5917 6.92623 0.459841 26.347
350 2745 9691 29.5594 6.93367 0.460803 26.4021
351 2751 9685 29.5917 6.9152 0.459134 26.3065
352 2760 9697 29.6401 6.90206 0.45757 26.2168
353 2787 9709 29.7847 6.84675 0.451898 25.8919
354 2790 9713 29.8007 6.84248 0.451391 25.8628
355 2760 9707 29.6401 6.90893 0.45801 26.242
356 2772 9709 29.7045 6.88192 0.455326 26.0883
357 2793 9728 29.8168 6.8457 0.451362 25.8612
358 2811 9733 29.9127 6.80742 0.44753 25.6416
359 2796 9720 29.8328 6.83329 0.450338 25.8024
360 2790 9722 29.8007 6.84861 0.451782 25.8852
361 2799 9734 29.8488 6.83583 0.450266 25.7984
362 2820 9749 29.9605 6.79755 0.446213 25.5661
363 2817 9720 29.9446 6.78485 0.445636 25.5331
364 2811 9720 29.9127 6.79862 0.446971 25.6096
365 2817 9724 29.9446 6.78755 0.445807 25.5429
366 2823 9715 29.9765 6.76776 0.444093 25.4446
367 2811 9713 29.9127 6.79389 0.44667 25.5923
368 2814 9705 29.9286 6.78159 0.445658 25.5343
369 2826 9735 29.9924 6.77439 0.444285 25.4557
370 2841 9760 30.0719 6.7571 0.442054 25.3279
