MCS Volumen AContact r h theta
269 45814.0 8676.0 52.55146594083335 10.424360112279535 22.439633303954487
270 45827.0 8685.0 52.57871586018645 10.416846465973233 22.412541803792216
271 45840.0 8673.0 52.54237949381449 10.433597598157673 22.46279818352998
272 45844.0 8676.0 52.55146594083335 10.431013762714672 22.453592359864594
273 45843.0 8697.0 52.61502713237377 10.406555838819028 22.375897617677627
274 45856.0 8724.0 52.69663601281765 10.378422941564468 22.283231099433205
275 45865.0 8730.0 52.7147541622314 10.373541001847085 22.265547276360337
276 45859.0 8739.0 52.74191971629537 10.361933039907829 22.23008317885826
277 45857.0 8754.0 52.78716457296133 10.344395526407721 22.1748426300354
278 45847.0 8781.0 52.86850773929473 10.311563667037989 22.073021479118744
279 45872.0 8787.0 52.88656700805006 10.310262342144629 22.062952752552356
280 45860.0 8781.0 52.86850773929473 10.314416066524185 22.078977372355407
281 45866.0 8793.0 52.90462011217991 10.302169425448543 22.038720244660173
282 45876.0 8817.0 52.97677100845693 10.277332126341102 21.957666908120096
283 45867.0 8826.0 53.00380227359294 10.265265868925045 21.921598192982138
284 45843.0 8829.0 53.012809632358554 10.256663491737509 21.900040432965667
285 45846.0 8841.0 53.0488237734909 10.243897280945525 21.85894785635528
286 45847.0 8844.0 53.05782348918437 10.240765273208025 21.848808058180328
287 45872.0 8877.0 53.15671979772181 10.209485452796931 21.744109620301813
288 45880.0 8892.0 53.20161189236908 10.194609377209964 21.695293154631873
289 45890.0 8913.0 53.2643972607982 10.173601660623929 21.626724069493687
290 45887.0 8922.0 53.291282631700476 10.16305075048539 21.594179957544167
291 45896.0 8934.0 53.32710870810442 10.151822066277564 21.556729375199644
292 45884.0 8955.0 53.38974649477038 10.126257356128853 21.479069971583385
